ID,FATHER,MOTHER
BP11040,NA,NA
BP11042,NA,NA
BP11043,NA,NA
BP11044,NA,NA
BP11045,NA,NA
BP11046,NA,NA
BP11047,NA,NA
BP11048,NA,NA
BP11049,NA,NA
BP11050,NA,NA
BP11055,NA,NA
BP11056,NA,NA
BP11062,NA,NA
BP11064,NA,NA
BP11067,NA,NA
BP11068,NA,NA
BP11069,NA,NA
BP11106,NA,NA
BP11118,NA,NA
BP11119,NA,NA
BP11120,NA,NA
BP11132,NA,NA
BP11133,NA,NA
BP11147,NA,NA
BP11151,NA,NA
BP11152,NA,NA
BP11153,NA,NA
BP11155,NA,NA
BP11165,NA,NA
BP11166,NA,NA
BP11167,NA,NA
BP11174,NA,NA
BP11175,NA,NA
BP11176,NA,NA
BP11210,NA,NA
BP11268,NA,NA
BP11269,NA,NA
BP11270,NA,NA
BP11271,NA,NA
BP11272,NA,NA
BP11273,NA,NA
BP11274,NA,NA
BP11275,NA,NA
BP11276,NA,NA
BP11277,NA,NA
BP11278,NA,NA
BP11279,NA,NA
BP11280,NA,NA
BP11281,NA,NA
BP11282,NA,NA
BP11283,NA,NA
BP11284,NA,NA
BP11293,NA,NA
BP11299,NA,NA
BP11615,NA,NA
BP11616,NA,NA
BP11617,NA,NA
BP11618,NA,NA
BP11654,NA,NA
BP11670,NA,NA
BP11747,NA,NA
BP11814,NA,NA
BP11816,NA,NA
BP11818,NA,NA
BP11819,NA,NA
BP11821,NA,NA
BP11996,NA,NA
BP11997,NA,NA
BP51630,NA,NA
BP52035,NA,NA
BP52036,NA,NA
BP52037,NA,NA
BP52038,NA,NA
BP52039,NA,NA
BP52040,NA,NA
BP52041,NA,NA
BP52042,NA,NA
BP52043,NA,NA
BP52044,NA,NA
BP52046,NA,NA
BP52047,NA,NA
BP52050,NA,NA
BP52487,NA,NA
BP52488,NA,NA
BP52489,NA,NA
BP52490,NA,NA
BP52491,NA,NA
BP52492,NA,NA
BP52493,NA,NA
BP78506,NA,NA
BP78511,NA,NA
BP78513,NA,NA
BR27012,NA,NA
BR62037,NA,NA
BR62040,NA,NA
BR62063,NA,NA
BR62077,NA,NA
BR62109,NA,NA
BR62127,NA,NA
BR62128,NA,NA
BR62129,NA,NA
BR62130,NA,NA
BR62131,NA,NA
BR62132,NA,NA
BR62133,NA,NA
BR62140,NA,NA
BR62148,NA,NA
BR62149,NA,NA
BR62159,NA,NA
BR62168,NA,NA
BR62169,NA,NA
BR62170,NA,NA
BR62214,NA,NA
BR62222,NA,NA
BR62223,NA,NA
BR62224,NA,NA
BR62225,NA,NA
BR62235,NA,NA
BR62236,NA,NA
BR62251,NA,NA
BR62256,NA,NA
BR62261,NA,NA
BR62262,NA,NA
BR62276,NA,NA
BR62286,NA,NA
BR62287,NA,NA
BR62292,NA,NA
BR62296,NA,NA
BR62297,NA,NA
BR62379,NA,NA
BR62407,NA,NA
BR62408,NA,NA
BR62450,NA,NA
BR62749,NA,NA
BR62750,NA,NA
BR62845,NA,NA
BR62846,NA,NA
BR62849,NA,NA
BR62850,NA,NA
BR62939,NA,NA
BR62940,NA,NA
BR62946,NA,NA
BR68425,NA,NA
BR75652,NA,NA
BS08006,NA,NA
BS08007,NA,NA
BS08008,NA,NA
BS08009,NA,NA
BS08010,NA,NA
BS08011,NA,NA
BS08049,NA,NA
BS08054,NA,NA
BS08055,NA,NA
BS08056,NA,NA
BS08164,NA,NA
BS08190,NA,NA
BS08196,NA,NA
BS08197,NA,NA
BS08198,NA,NA
BS08227,NA,NA
BS08228,NA,NA
BS08230,NA,NA
BS08232,NA,NA
BS08233,NA,NA
BS08236,NA,NA
BS08248,NA,NA
BS08286,NA,NA
BS08325,NA,NA
BS08407,NA,NA
BS08409,NA,NA
BS08410,NA,NA
BS08411,NA,NA
BS08420,NA,NA
BS08421,NA,NA
BS08422,NA,NA
BS08441,NA,NA
BS08450,NA,NA
BS08465,NA,NA
BS08466,NA,NA
BS08467,NA,NA
BS08471,NA,NA
BS08472,NA,NA
BS08473,NA,NA
BS08474,NA,NA
BS08475,NA,NA
BS08476,NA,NA
BS08477,NA,NA
BS08478,NA,NA
BS08479,NA,NA
BS08480,NA,NA
BS08481,NA,NA
