F_ID,Year,Nest_box,Survival,Num_recruited,April_hatch,Synchrony,Clutch_size,Age,Immigrant,beech,pop_size,Spring_temp,winter_temp,winter_precip_t,spring_precip_t,Round,Half_fall,R_pop_size,Spring_temp_GT,Spring_temp_cat
NA22348,1979,W100,0,0,62,-11.1808729963165,10,2,0,1,127,6.209859155,4.491208791,204.2,163.7,W,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81348,1979,W32,0,1,64,-9.18087299631647,11,1,1,1,127,6.209859155,4.491208791,204.2,163.7,W,73.1808729963165,74,9.75470588235294,10.4664772727273
NA22976,1979,W41,0,0,55,-18.1808729963165,12,1,0,1,127,6.209859155,4.491208791,204.2,163.7,W,73.1808729963165,74,9.75470588235294,10.4664772727273
NA22967,1979,W44,0,0,62,-11.1808729963165,12,1,0,1,127,6.209859155,4.491208791,204.2,163.7,W,73.1808729963165,74,9.75470588235294,10.4664772727273
NA22975,1979,W51,0,2,63,-10.1808729963165,13,1,0,1,127,6.209859155,4.491208791,204.2,163.7,W,73.1808729963165,74,9.75470588235294,10.4664772727273
NA22890,1979,W81,0,0,58,-15.1808729963165,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,W,73.1808729963165,74,9.75470588235294,10.4664772727273
NC10992,1980,B155,0,1,44,-21.4970474220139,11,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
NC09918,1980,B170,1,1,45,-20.4970474220139,11,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
NC09918,1981,B140,1,0,47,-10.9745788349581,9,2,0,0,232,8.088732394,2.404444444,163.2,131.6,B,57.9745788349581,147,11.5273529411765,11.3026136363636
NC09918,1982,B140,1,0,47,-14.4913956805066,9,3,0,2,175,7.332394366,4.226666667,131.9,63.3,B,61.4913956805066,106,11.5829411764706,12.0690909090909
NC09918,1983,B145,1,0,53,-18.4,10,4,0,1,297,7.164788732,4.230769231,166.7,195.8,B,71.4,163,10.9495588235294,10.9202272727273
NC09918,1984,B39,0,0,61,-9.40000000000001,8,5,0,2,168,6.612676056,2.468888889,123.6,73.6,B,70.4,98,10.9717647058824,10.6229545454545
NC10282,1980,B177,1,0,44,-21.4970474220139,10,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
NC10282,1981,B84,1,0,50,-7.97457883495809,8,2,0,0,232,8.088732394,2.404444444,163.2,131.6,B,57.9745788349581,147,11.5273529411765,11.3026136363636
NC10282,1982,B86,0,1,46,-15.4913956805066,8,3,0,2,175,7.332394366,4.226666667,131.9,63.3,B,61.4913956805066,106,11.5829411764706,12.0690909090909
NC10884,1980,B179,1,2,42,-23.4970474220139,12,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
NC10884,1981,B79,0,0,48,-9.97457883495809,10,2,0,0,232,8.088732394,2.404444444,163.2,131.6,B,57.9745788349581,147,11.5273529411765,11.3026136363636
A003804,1980,B183,0,2,43,-22.4970474220139,10,1,1,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
NC11643,1980,B193,0,2,45,-20.4970474220139,11,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
NC10277,1980,B20,0,0,45,-20.4970474220139,13,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
NC10921,1980,B200,1,1,52,-13.4970474220139,12,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
NC10921,1981,B49,0,0,54,-3.97457883495809,11,2,0,0,232,8.088732394,2.404444444,163.2,131.6,B,57.9745788349581,147,11.5273529411765,11.3026136363636
NC11687,1980,B207,0,1,44,-21.4970474220139,11,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
A003807,1980,B217,1,0,43,-22.4970474220139,6,1,1,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
A003807,1981,B213,0,0,44,-13.9745788349581,8,2,1,0,232,8.088732394,2.404444444,163.2,131.6,B,57.9745788349581,147,11.5273529411765,11.3026136363636
NC11708,1980,B39,1,1,50,-15.4970474220139,10,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
NC11708,1981,B43,1,0,55,-2.97457883495809,10,2,0,0,232,8.088732394,2.404444444,163.2,131.6,B,57.9745788349581,147,11.5273529411765,11.3026136363636
NC11708,1982,B139,1,1,50,-11.4913956805066,10,3,0,2,175,7.332394366,4.226666667,131.9,63.3,B,61.4913956805066,106,11.5829411764706,12.0690909090909
NC11708,1983,B139,0,0,54,-17.4,7,4,0,1,297,7.164788732,4.230769231,166.7,195.8,B,71.4,163,10.9495588235294,10.9202272727273
NC11936,1980,B51,0,0,47,-18.4970474220139,8,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
A003802,1980,B52,1,1,47,-18.4970474220139,14,1,1,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
A003802,1981,B54,0,0,46,-11.9745788349581,12,2,1,0,232,8.088732394,2.404444444,163.2,131.6,B,57.9745788349581,147,11.5273529411765,11.3026136363636
NC09564,1980,B62A,0,1,44,-21.4970474220139,11,1,0,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
A003808,1980,B7,1,0,52,-13.4970474220139,11,1,1,2,177,6.829577465,4.122222222,93,49.6,B,65.4970474220139,114,10.8602941176471,11.5865909090909
A003808,1981,B2,0,0,56,-1.97457883495809,11,2,1,0,232,8.088732394,2.404444444,163.2,131.6,B,57.9745788349581,147,11.5273529411765,11.3026136363636
